% interestacl94stopwords.arff

@relation interest

@attribute prevword_3 String
@attribute prevword_2 String
@attribute prevword String
@attribute nextword String
@attribute nextword_2 String
@attribute nextword_3 String
@attribute prevtag_3 String
@attribute prevtag_2 String
@attribute prevtag String
@attribute nexttag String
@attribute nexttag_2 String
@attribute nexttag_3 String
@attribute 'Class' {'interest1', 'interest2', 'interest3', 'interest4', 'interest5', 'interest6'}

@data
'NULL','NULL','X','rate','sensitives','nXt','NULL','NULL','X','NN','NNS','RB','interest6'
'economy','immediate','outlook','rates','X','NULL','NN','JJ','NN','NNS','X','NULL','interest6'
'importance','broad','spectrum','congress','administration','X','NN','JJ','NN','NP','NN','X','interest3'
'10','%','netXprofits','certain','oil','gas','AB','NN','JJ','JJ','NN','NN','interest5'
'said','loan','carries','rate','prime','plus','VBD','NN','VBZ','NN','JJ','CC','interest6'
'sell','20','%','real','estate','unit','VB','AB','NN','JJ','NN','NN','interest5'
'profit','tax','minority','extraordinary','items','rose','NN','NN','NN','JJ','NNS','VBD','interest5'
'X','18','million','saudi','european','bank','X','AB','AB','NP','NP','NP','interest5'
'pretty','general','X','stocks','latest','session','RB','JJ','X','NNS','JJS','NN','interest1'
'ogden','projects','X','solidXwaste','recovery','hazardousXwaste','NP','NPS','X','NN','NN','NN','interest5'
'corpX','X','also','building','maintenance','management','NP','X','RB','NN','NN','NN','interest5'
'phelan','Xs','X','building','electronic','marketplace','NN','POS','X','VBG','JJ','NN','interest3'
'federal','reserve','lower','rates','X','NULL','NP','NP','VB','NNS','X','NULL','interest6'
'ability','pinpoint','trough','rate','cycles','X','NN','VB','NN','JJ','NNS','X','interest6'
'federal','reserve','raised','rates','X','ibm','NP','NP','VBD','NNS','X','NP','interest6'
'bearish','due','speculation','rates','could','rise','JJ','RB','NN','NNS','MD','VB','interest6'
'interpreted','sign','higher','rates','possible','X','VBN','NN','JJR','NNS','JJ','X','interest6'
'investors','clearly','revived','gold','utility','shares','NNS','RB','VBN','NN','NN','NNS','interest1'
'produce','lower','shortXterm','rates','next','30','VB','JJR','JJ','NNS','JJ','AB','interest6'
'name','underlined','growing','british','concern','X','NN','VBD','VBG','JJ','NN','X','interest1'
'fading','expectation','lower','rates','made','investors','JJ','NN','JJR','NNS','VBD','NNS','interest6'
'days','X','show','public','office','heroic','NNS','X','VB','JJ','NN','JJ','interest1'
'current','plans','sell','X','NULL','NULL','JJ','NNS','VB','X','NULL','NULL','interest5'
'company','rockefeller','family','X','NULL','NULL','NN','NP','NN','X','NULL','NULL','interest5'
'issues','attracted','buying','X','however','X','NNS','VBD','NN','X','RB','X','interest1'
'NULL','NULL','realization','rates','firm','due','NULL','NULL','NN','NNS','JJ','RB','interest6'
'whose','revenues','slowing','rates','longer','accommodative','WPX','NNS','VBG','NNS','RB','JJ','interest6'
'X','due','international','rate','differentials','choreographed','X','RB','JJ','NN','NNS','JJ','interest6'
'X','inspire','foreignXinvestor','X','NULL','NULL','X','VB','NN','X','NULL','NULL','interest1'
'9X65','%','annual','rate','X','approved','AB','NN','JJ','NN','X','VBN','interest6'
'NULL','NULL','shortXterm','rates','rose','government','NULL','NULL','JJ','NNS','VBD','NN','interest6'
'bill','auction','X','rate','8X07','%','NN','NN','X','NN','AB','NN','interest6'
'union','forced','reset','rate','senior','secured','NP','VBN','VB','NN','JJ','VBN','interest6'
'firm','Xs','annual','payments','X','13X8','NN','POS','JJ','NNS','X','AB','interest6'
'nXt','anything','arouses','first','glance','X','RB','NN','VBZ','JJ','NN','X','interest1'
'also','detected','bit','golf','X','positive','RB','VBD','NN','NN','X','JJ','interest1'
'move','indirectly','increases','rates','charged','new','NN','RB','VBZ','NNS','VBN','JJ','interest6'
'debt','X','suspended','payments','last','month','NN','X','VBD','NNS','JJ','NN','interest6'
'time','families','personal','X','says','john','NN','NNS','JJ','X','VBZ','NP','interest3'
'approach','generated','much','nyu','host','first','NN','VBN','JJ','NP','NN','JJ','interest1'
'NULL','NULL','investor','stock','funds','X','NULL','NULL','NN','NN','NNS','X','interest1'
'NULL','X','western','see','mrX','gorbachev','NULL','X','JJ','VB','NP','NP','interest4'
'simply','X','expression','X','X','chapter','RB','X','NN','X','X','NP','interest1'
'business','community','preserve','X','probably','restricting','NN','NN','VB','X','RB','VBG','interest4'
'citicorp','Xs','books','charges','new','york','NP','POS','NNS','VBZ','NP','NP','interest6'
'baseball','experience','may','cbs','incX','X','NN','NN','MD','NP','NP','X','interest2'
'NULL','NULL','NULL','instead','decreased','X','NULL','NULL','NULL','RB','VBD','X','interest1'
'NULL','NULL','NULL','waned','day','wore','NULL','NULL','NULL','VBD','NN','VBD','interest1'
'uXsX','foreign','annual','rates','guide','general','NP','JJ','JJ','NNS','NN','JJ','interest6'
'NULL','NULL','annualized','rates','certain','investments','NULL','NULL','VBN','NNS','JJ','NNS','interest6'
'19X25','%','annual','set','come','due','AB','NN','JJ','VBN','VB','RB','interest6'
'issues','paying','lower','X','NULL','NULL','NNS','VBG','JJR','X','NULL','NULL','interest6'
'reset','provisions','allowed','rate','raised','19X25','NN','NNS','VBD','NN','VBN','AB','interest6'
'500','note','paying','rate','starting','16X75','AB','NN','VBG','NN','VBG','AB','interest6'
'X','48','million','payments','reset','notes','X','AB','AB','NNS','NN','NNS','interest6'
'said','must','lower','rate','debt','regain','VBD','MD','VB','NN','NN','VB','interest6'
'said','acting','protect','shareholder','navigation','mixte','VBD','VBG','VB','NN','NP','NP','interest4'
'statement','acting','protect','X','ties','navigation','NN','VBG','VB','X','VBZ','NP','interest5'
'alberta','oil','gas','amoco','corpX','Xs','NP','NN','NN','NP','NP','POS','interest5'
'spring','summer','X','rates','dipped','X','NN','NN','X','NNS','VBD','X','interest6'
'products','X','already','tissue','businesses','france','NNS','X','RB','NN','NNS','NP','interest5'
'relatively','high','british','rates','X','NULL','RB','JJ','JJ','NNS','X','NULL','interest6'
'X','even','higher','rates','wo','nXt','X','RB','JJR','NNS','MD','RB','interest6'
'sell','51','%','mitsubishi','estate','X','VB','AB','NN','NP','NP','X','interest5'
'retain','10','%','new','company','X','VB','AB','NN','JJ','NN','X','interest5'
'exchange','offer','reduce','payments','X','NULL','NN','NN','VB','NNS','X','NULL','interest6'
'potentially','dangerous','resolved','national','security','X','RB','JJ','VBN','JJ','NN','X','interest4'
'resigned','pursue','business','X','airline','said','VBD','VB','NN','X','NN','VBD','interest3'
'cincinnatiXbased','pXg','took','X','ordered','two','JJ','NP','VBD','X','VBD','AB','interest1'
'NULL','NULL','NULL','emigration','investment','abroad','NULL','NULL','NULL','NN','NN','RB','interest1'
'NULL','NULL','net','income','third','quarter','NULL','NULL','JJ','NN','JJ','NN','interest6'
'term','34','years','rate','8','%','NN','AB','NNS','NN','AB','NN','interest6'
'X','legal','fees','driven','value','claim','X','JJ','NNS','VBN','NN','NN','interest6'
'bonds','afterXtax','cost','bonds','higher','dividend','NNS','JJ','NN','NNS','JJR','NN','interest6'
'national','enquirer','shown','X','NULL','NULL','NP','NP','VBN','X','NULL','NULL','interest1'
'almost','impervious','high','rates','mrX','lawson','RB','JJ','JJ','NNS','NP','NP','interest6'
'requirements','X','high','rates','less','likely','NNS','X','JJ','NNS','RBR','JJ','interest6'
'X','neither','aggregates','rates','X','X','X','DT','NNS','NNS','X','X','interest6'
'X','leaving','time','outside','office','X','X','VBG','NN','IN','NN','X','interest3'
'company','Xs','earnings','X','taxes','depreciation','NN','POS','NNS','X','NNS','NN','interest6'
'businesses','X','earnings','X','taxes','depreciation','NNS','X','NNS','X','NNS','NN','interest6'
'undervalued','basis','realXestate','X','NULL','NULL','VBN','NN','NN','X','NULL','NULL','interest5'
'X','100','million','every','quarter','X','X','AB','AB','DT','NN','X','interest6'
'NULL','said','longXterm','rates','X','9','NULL','VBD','JJ','NNS','X','AB','interest6'
'something','people','believe','rates','nosedive','X','NN','NNS','VBP','NNS','JJ','X','interest6'
'better','expected','X','rates','generally','declined','RB','VBD','X','NNS','RB','VBN','interest6'
'monetary','policy','pushed','rates','15','%','JJ','NN','VBD','NNS','AB','NN','interest6'
'NULL','doubled','mortgage','rates','many','new','NULL','VBD','NN','NNS','JJ','JJ','interest6'
'renewed','inflation','high','rates','X','three','VBN','NN','JJ','NNS','X','AB','interest6'
'flows','response','high','rates','X','NULL','NNS','NN','JJ','NNS','X','NULL','interest6'
'currency','falls','X','rates','raised','attract','NN','VBZ','X','NNS','VBN','VB','interest6'
'Xs','australian','coal','X','275','million','POS','JJ','NN','X','AB','AB','interest5'
'X','X','great','games','skill','X','X','X','JJ','NNS','NN','X','interest1'
'showed','first','time','paid','public','debt','VBD','JJ','NN','VBN','JJ','NN','interest6'
'NULL','NULL','accrued','refund','X','18','NULL','NULL','VBN','NN','X','AB','interest6'
'federal','incomeXtax','refunds','court','ruling','tax','JJ','JJ','NNS','NN','VBG','NN','interest6'
'55','%','equity','partner','X','metromedia','AB','NN','NN','NN','X','NP','interest5'
'would','sufficient','cover','payments','debt','X','MD','JJ','VB','NNS','NN','X','interest6'
'50X3','%','controlling','X','NULL','NULL','AB','NN','VBG','X','NULL','NULL','interest5'
'would','50','%','new','cellular','company','MD','AB','NN','JJ','JJ','NN','interest5'
'asked','well','public','would','served','X','VBD','RB','JJ','MD','VBN','X','interest4'
'lack','substantial','buying','X','NULL','NULL','NN','JJ','NN','X','NULL','NULL','interest1'
'inflation','X','high','rates','heavy','trade','NN','X','JJ','NNS','JJ','NN','interest6'
'frankfurt','authorities','move','rates','X','NULL','NP','NNS','VBP','NNS','X','NULL','interest6'
'trust','coX','X','rates','irving','Xs','NP','NP','X','NNS','NP','POS','interest6'
'irving','paying','less','promised','marketing','brochure','NP','VBG','JJR','VBN','NN','NN','interest6'
'key','federal','funds','rate','X','largely','JJ','JJ','NNS','NN','X','RB','interest6'
'research','innovation','public','X','NULL','NULL','NN','NN','JJ','X','NULL','NULL','interest4'
'uXsX','foreign','annual','rates','guide','general','NP','JJ','JJ','NNS','NN','JJ','interest6'
'arcane','maneuver','little','outside','washington','X','JJ','NN','JJ','IN','NP','X','interest2'
'NULL','republicans','much','democrats','X','way','NULL','NPS','JJ','NPS','X','NN','interest1'
'300','million','behind','payments','X','NULL','AB','AB','RB','NNS','X','NULL','interest6'
'6','14','%','rate','X','NULL','AB','AB','NN','NN','X','NULL','interest6'
'governmentXcontrolled','banks','X','rates','prime','borrowers','JJ','NNS','X','NNS','JJ','NNS','interest6'
'says','would','best','cbs','news','comment','VBZ','MD','JJS','NP','NP','VB','interest4'
'reduce','debt','obligations','expense','X','NULL','VB','NN','NNS','NN','X','NULL','interest6'
'value','reduced','cash','X','NULL','NULL','NN','JJ','NN','X','NULL','NULL','interest6'
'would','represent','controlling','company','X','NULL','MD','VB','VBG','NN','X','NULL','interest5'
'months','light','investor','metals','X','NULL','NNS','JJ','NN','NNS','X','NULL','interest1'
'addition','X','effective','rate','X','410','NN','X','JJ','NN','X','AB','interest6'
'X','4','million','expenses','next','year','X','AB','AB','NNS','IN','NN','interest6'
'yields','risen','time','rates','generally','fallen','NNS','VBN','NN','NNS','RB','VBN','interest6'
'slowly','relative','decline','rates','X','NULL','RB','JJ','NN','NNS','X','NULL','interest6'
'X','nXt','much','X','NULL','NULL','X','RB','JJ','X','NULL','NULL','interest1'
'X','advertisers','showing','X','NULL','NULL','X','NNS','VBG','X','NULL','NULL','interest1'
'NULL','Xs','municipalXbond','exempt','federal','income','NULL','VBZ','JJ','JJ','JJ','NN','interest6'
'rolling','year','prevailing','rates','X','NULL','VBG','NN','JJ','NNS','X','NULL','interest6'
'order','make','bet','rates','decline','next','NN','VB','NN','NNS','VB','JJ','interest6'
'returns','even','losses','rates','rise','instead','NNS','JJ','NNS','NNS','VBP','RB','interest6'
'NULL','NULL','NULL','rates','nXt','change','NULL','NULL','NULL','NNS','RB','VB','interest6'
'NULL','NULL','NULL','rate','guaranteed','one','NULL','NULL','NULL','NN','VBN','AB','interest6'
'offers','8X8','%','one','year','9','VBZ','AB','NN','AB','NN','AB','interest6'
'returns','track','market','rates','X','slight','NNS','VBP','NN','NNS','X','JJ','interest6'
'exaggerate','needs','national','X','words','X','VB','NNS','JJ','X','NNS','X','interest4'
'thinking','neutralizes','threats','manner','consistent','financial','NN','VBZ','NNS','NN','JJ','JJ','interest4'
'times','lower','uXsX','rates','continue','undermine','NNS','JJR','NP','NNS','VBP','VB','interest6'
'recent','decline','uXsX','rates','diminished','attractiveness','JJ','NN','NP','NNS','VBN','NN','interest6'
'relatively','high','british','rates','said','X','RB','JJ','JJ','NNS','VBD','X','interest6'
'lack','strong','buying','yen','another','boon','NN','JJ','NN','NN','DT','NN','interest1'
'japanese','investors','X','buying','dollars','yen','JJ','NNS','POS','VBG','NNS','NN','interest1'
'NULL','NULL','giant','cement','making','newsprint','NULL','NULL','NN','NN','NN','NN','interest5'
'X','plus','accrued','date','redemption','X','X','CC','JJ','NN','NN','X','interest6'
'banks','major','stake','rates','move','enormous','NNS','JJ','NN','NNS','VBP','JJ','interest6'
'making','difficult','predict','rates','colony','go','VBG','JJ','VB','NNS','NN','VB','interest6'
'norwegian','oil','gas','sale','earlier','week','JJ','NN','NN','NN','RBR','NN','interest5'
'X','norwegian','unit','ranging','10','%','X','JJ','NN','VBG','AB','NN','interest5'
'NULL','NULL','NULL','first','year','paid','NULL','NULL','NULL','JJ','NN','VBN','interest6'
'NULL','thereafter','X','paid','annually','7X65','NULL','RB','X','VBN','RB','AB','interest6'
'1989','X','represent','trust','fund','home','AB','X','VB','NN','NN','NN','interest5'
'mitchell','get','half','oil','X','NULL','NP','VB','NN','NN','X','NULL','interest5'
'acquire','half','brewing','X','NULL','NULL','VB','PDT','NN','X','NULL','NULL','interest5'
'budgetary','mean','public','X','NULL','NULL','JJ','VB','JJ','X','NULL','NULL','interest4'
'cover','financial','instruments','rate','swaps','X','VB','JJ','NNS','NN','NNS','X','interest6'
'NULL','NULL','read','robert','tomsho','Xs','NULL','NULL','VBP','NP','NP','POS','interest1'
'NULL','NULL','NULL','taken','heart','people','NULL','NULL','NULL','VBN','NN','NNS','interest4'
'matched','similar','intellectual','X','NULL','NULL','VBN','JJ','JJ','X','NULL','NULL','interest3'
'airXquality','standards','spurring','lighter','alternative','fuels','NN','NNS','VBG','JJR','JJ','NNS','interest1'
'year','X','fat','payments','barely','managed','NN','X','JJ','NNS','RB','VBD','interest6'
'firmly','supports','high','rates','keep','inflation','RB','VBZ','JJ','NNS','VB','NN','interest6'
'X','company','said','debt','fall','slightly','X','NN','VBD','NN','VB','RB','interest6'
'%','X','base','rates','highest','eight','NN','X','NN','NNS','JJS','AB','interest6'
'NULL','convicted','charging','rates','much','higher','NULL','VBN','VBG','NNS','RB','JJR','interest6'
'NULL','NULL','NULL','rates','charge','often','NULL','NULL','NULL','NNS','VBP','RB','interest6'
'company','X','whose','include','insurance','X','NN','X','WPX','VBP','NN','X','interest5'
'2','million','year','expense','X','NULL','AB','AB','NN','NN','X','NULL','interest6'
'subordinated','notes','periodic','payments','X','NULL','JJ','NNS','JJ','NNS','X','NULL','interest6'
'similar','saks','Xs','idea','X','NULL','JJ','NP','POS','NN','X','NULL','interest1'
'federal','reserve','lower','rates','coming','weeks','NP','NP','VB','NNS','JJ','NNS','interest6'
'NULL','loans','variable','rates','X','currently','NULL','NNS','JJ','NNS','X','RB','interest6'
'nXt','make','semiannual','payment','X','40','RB','VB','JJ','NN','X','AB','interest6'
'corpX','nearly','missed','payment','junk','bonds','NP','RB','VBD','NN','NN','NNS','interest6'
'must','first','dispose','britain','Xs','domestic','MD','RB','VB','NP','POS','JJ','interest5'
'uXsX','foreign','annual','rates','guide','general','NP','JJ','JJ','NNS','NN','JJ','interest6'
'223X4','million','sale','computerized','reservations','partnership','AB','AB','NN','JJ','NNS','NN','interest5'
'gain','sale','covia','X','NULL','NULL','NN','NN','NP','X','NULL','NULL','interest5'
'illX','X','company','fashion','jewelry','accessories','NP','X','NN','NN','NN','NNS','interest5'
'X','sure','revive','matter','capitol','hill','X','JJ','VB','NN','NP','NP','interest1'
'6X250X000','X','plus','X','highest','lawful','AB','X','CC','X','JJS','JJ','interest6'
'rjr','loans','lower','rates','X','possibly','NP','NNS','JJR','NNS','X','RB','interest6'
'event','us','bring','rate','X','NULL','NN','PP','VB','NN','X','NULL','interest6'
'1X4','billion','accrued','year','X','amounts','AB','AB','JJ','NN','X','NNS','interest6'
'rjr','must','fix','rates','X','5X8','NP','MD','VB','NNS','X','AB','interest6'
'X','excluding','accrued','X','X','rjr','X','VBG','JJ','X','X','NP','interest6'
'boost','bonds','X','rates','high','necessary','VB','NNS','POS','VBZ','RB','JJ','interest6'
'could','require','fixing','rate','high','20','MD','VB','VBG','NN','JJ','AB','interest6'
'bonds','continue','accrue','paper','midX1990s','late','NNS','VB','VB','NN','NNS','JJ','interest6'
'rjr','forced','fix','rate','get','bonds','NP','VBN','VB','NN','VB','NNS','interest6'
'NULL','brunswick','also','defense','aerospace','products','NULL','NP','RB','NN','JJ','NNS','interest5'
'generally','enhanced','investor','precious','metals','X','RB','JJ','NN','JJ','NNS','X','interest1'
'might','create','investor','precious','metals','X','MD','VB','NN','JJ','NNS','X','interest1'
'NULL','NULL','NULL','lacking','long','time','NULL','NULL','NULL','JJ','JJ','NN','interest1'
'seen','increasing','open','declining','prices','X','VBN','VBG','JJ','VBG','NNS','X','interest5'
'NULL','NULL','open','number','outstanding','contracts','NULL','NULL','JJ','NN','JJ','NNS','interest5'
