% interestacl94.arff

@relation interest

@attribute prevword_3 String
@attribute prevword_2 String
@attribute prevword_1 String
@attribute nextword_1 String
@attribute nextword_2 String
@attribute nextword_3 String
@attribute prevtag_3 String
@attribute prevtag_2 String
@attribute prevtag_1 String
@attribute nexttag_1 String
@attribute nexttag_2 String
@attribute nexttag_3 String
@attribute 'Class' {'interest1', 'interest2', 'interest3', 'interest4', 'interest5', 'interest6'}

@data
'mortgage','securities','pay','monthly','X','since','NN','NNS','VBP','RB','X','IN','interest6'
'pursue','the','longXterm','of','the','corporation','VB','DT','JJ','IN','DT','NN','interest4'
'holding','company','with','in','manufacturing','concerns','VBG','NN','IN','IN','VBG','NNS','interest5'
'ends','despite','growing','in','the','environment','NNS','IN','VBG','IN','DT','NN','interest1'
'nXt','shown','much','in','refillable','packages','RB','VBN','JJ','IN','JJ','NNS','interest1'
'NULL','they','pay','only','for','115','NULL','PP','VBP','RB','IN','AB','interest6'
'federal','reserve','eases','rates','X','NULL','NP','NP','VBZ','NNS','X','NULL','interest6'
'a','narrowing','of','rate','differentials','between','DT','NN','IN','NN','NNS','IN','interest6'
'reserve','relaxed','shortXterm','rates','X','knocking','NP','VBD','JJ','NNS','X','VBG','interest6'
'X','lower','uXsX','rates','and','signs','X','JJR','NP','NNS','CC','NNS','interest6'
'value','rises','when','rates','decline','X','NN','VBZ','WRB','NNS','VBP','X','interest6'
'he','expects','uXsX','rates','to','decline','PP','VBZ','NP','NNS','TO','VB','interest6'
'NULL','west','german','rates','X','he','NULL','JJ','JJ','NNS','X','PP','interest6'
'trend','in','uXsX','rates','X','a','NN','IN','NP','NNS','X','DT','interest6'
'banking','corpX','Xs','rate','options','group','NP','NP','POS','NN','NNS','NN','interest6'
'including','swaps','and','rate','options','X','VBG','NNS','CC','NN','NNS','X','interest6'
'problems','in','the','rate','options','unit','NNS','IN','DT','NN','NNS','NN','interest6'
'to','envision','an','rate','environment','where','TO','VB','DT','NN','NN','WRB','interest6'
'the','incidents','involving','rate','options','and','DT','NNS','VBG','NN','NNS','CC','interest6'
'NULL','in','an','rate','options','contract','NULL','IN','DT','NN','NNS','NN','interest6'
'X','chemical','Xs','rate','options','group','X','NP','POS','NN','NNS','NN','interest6'
'X','chemical','Xs','rate','options','group','X','NP','POS','NN','NNS','NN','interest6'
'aflXcio','is','finding','from','an','unlikely','NP','VBZ','VBG','IN','DT','JJ','interest1'
'the','new','corporate','in','healthXcare','overhaul','DT','JJ','JJ','IN','NN','NN','interest1'
'federal','reserve','eases','rates','soon','to','NP','NP','VBZ','NNS','RB','TO','interest6'
'payments','to','minority','X','surged','to','NNS','TO','NN','X','VBD','TO','interest5'
'payments','to','minority','X','on','revenue','NNS','TO','NN','X','IN','NN','interest5'
'NULL','X','the','rate','sensitives','are','NULL','X','DT','NN','NNS','VBP','interest6'
'immediate','outlook','for','rates','X','NULL','JJ','NN','IN','NNS','X','NULL','interest6'
'broad','spectrum','of','in','congress','and','JJ','NN','IN','IN','NP','CC','interest3'
'10','%','netXprofits','in','certain','oil','AB','NN','JJ','IN','JJ','NN','interest5'
'loan','carries','an','rate','of','prime','NN','VBZ','DT','NN','IN','JJ','interest6'
'a','20','%','in','its','real','DT','AB','NN','IN','PPX','JJ','interest5'
'tax','and','minority','but','before','extraordinary','NN','CC','NN','CC','IN','JJ','interest5'
'X','18','million','in','saudi','european','X','AB','AB','IN','NP','NP','interest5'
'pretty','general','X','in','stocks','in','RB','JJ','X','IN','NNS','IN','interest1'
'X','which','has','in','solidXwaste','recovery','X','WDT','VBZ','IN','NN','NN','interest5'
'which','also','has','in','building','maintenance','WDT','RB','VBZ','IN','NN','NN','interest5'
'Xs','X','own','are','in','building','POS','X','JJ','VBP','IN','VBG','interest3'
'reserve','to','lower','rates','X','NULL','NP','TO','VB','NNS','X','NULL','interest6'
'the','trough','in','rate','cycles','X','DT','NN','IN','JJ','NNS','X','interest6'
'federal','reserve','raised','rates','X','ibm','NP','NP','VBD','NNS','X','NP','interest6'
'to','speculation','that','rates','could','rise','TO','NN','IN','NNS','MD','VB','interest6'
'sign','that','higher','rates','are','possible','NN','IN','JJR','NNS','VBP','JJ','interest6'
'have','revived','their','in','gold','and','VBP','VBN','PPX','IN','NN','CC','interest1'
'produce','lower','shortXterm','rates','over','the','VB','JJR','JJ','NNS','IN','DT','interest6'
'underlined','the','growing','in','the','british','VBD','DT','VBG','IN','DT','JJ','interest1'
'expectation','for','lower','rates','made','investors','NN','IN','JJR','NNS','VBD','NNS','interest6'
'to','show','an','in','public','office','TO','VB','DT','IN','JJ','NN','interest1'
'to','sell','his','X','NULL','NULL','TO','VB','PPX','X','NULL','NULL','interest5'
'for','rockefeller','family','X','NULL','NULL','IN','NP','NN','X','NULL','NULL','interest5'
'issues','attracted','buying','X','however','X','NNS','VBD','NN','X','RB','X','interest1'
'the','realization','that','rates','will','be','DT','NN','IN','NNS','MD','VB','interest6'
'slowing','and','where','rates','are','no','VBG','CC','WRB','NNS','VBP','RB','interest6'
'due','to','international','rate','differentials','and','RB','TO','JJ','NN','NNS','CC','interest6'
'not','inspire','foreignXinvestor','X','NULL','NULL','RB','VB','NN','X','NULL','NULL','interest1'
'9X65','%','annual','rate','X','was','AB','NN','JJ','NN','X','VBD','interest6'
'NULL','NULL','shortXterm','rates','rose','at','NULL','NULL','JJ','NNS','VBD','IN','interest6'
'bill','auction','X','rate','8X07','%','NN','NN','X','NN','AB','NN','interest6'
'to','reset','the','rate','on','the','TO','VB','DT','NN','IN','DT','interest6'
'firm','Xs','annual','payments','by','X','NN','POS','JJ','NNS','IN','X','interest6'
'which','arouses','our','at','first','glance','WDT','VBZ','PPX','IN','JJ','NN','interest1'
'a','bit','more','in','golf','X','DT','NN','JJR','IN','NN','X','interest1'
'that','indirectly','increases','rates','charged','on','WDT','RB','VBZ','NNS','VBN','IN','interest6'
'which','it','suspended','payments','last','month','WDT','PP','VBD','NNS','JJ','NN','interest6'
'families','and','personal','X','says','john','NNS','CC','JJ','X','VBZ','NP','interest3'
'generated','so','much','that','nyu','is','VBN','RB','JJ','IN','NP','VBZ','interest1'
'NULL','NULL','investor','in','stock','funds','NULL','NULL','NN','IN','NN','NNS','interest1'
'in','the','western','to','see','mrX','IN','DT','JJ','TO','VB','NP','interest4'
'X','expression','of','X','X','because','X','NN','IN','X','X','IN','interest1'
'preserve','its','own','X','probably','by','VB','PPX','JJ','X','RB','IN','interest4'
'because','of','the','charges','the','new','IN','IN','DT','VBZ','DT','NP','interest6'
'may','be','of','to','cbs','incX','MD','VB','IN','TO','NP','NP','interest2'
'NULL','NULL','but','instead','decreased','X','NULL','NULL','CC','RB','VBD','X','interest1'
'NULL','NULL','but','waned','as','the','NULL','NULL','CC','VBD','IN','DT','interest1'
'and','foreign','annual','rates','below','are','CC','JJ','JJ','NNS','RB','VBP','interest6'
'NULL','NULL','annualized','rates','on','certain','NULL','NULL','VBN','NNS','IN','JJ','interest6'
'19X25','%','annual','and','set','to','AB','NN','JJ','CC','VBN','TO','interest6'
'issues','paying','lower','X','NULL','NULL','NNS','VBG','JJR','X','NULL','NULL','interest6'
'provisions','allowed','their','rate','to','be','NNS','VBD','PPX','NN','TO','VB','interest6'
'note','paying','an','rate','starting','at','NN','VBG','DT','NN','VBG','IN','interest6'
'48','million','in','payments','on','the','AB','AB','IN','NNS','IN','DT','interest6'
'must','lower','the','rate','on','its','MD','VB','DT','NN','IN','PPX','interest6'
'protect','its','own','as','a','shareholder','VB','PPX','JJ','IN','DT','NN','interest4'
'to','protect','that','X','which','ties','TO','VB','DT','X','WDT','VBZ','interest5'
'oil','and','gas','from','amoco','corpX','NN','CC','NN','IN','NP','NP','interest5'
'summer','X','when','rates','dipped','X','NN','X','WRB','NNS','VBD','X','interest6'
'X','already','has','in','tissue','businesses','X','RB','VBZ','IN','NN','NNS','interest5'
'relatively','high','british','rates','X','NULL','RB','JJ','JJ','NNS','X','NULL','interest6'
'X','even','higher','rates','wo','nXt','X','RB','JJR','NNS','MD','RB','interest6'
'a','51','%','to','mitsubishi','estate','DT','AB','NN','TO','NP','NP','interest5'
'a','10','%','in','the','new','DT','AB','NN','IN','DT','JJ','interest5'
'to','reduce','its','payments','X','NULL','TO','VB','PPX','NNS','X','NULL','interest6'
'resolved','in','the','of','national','security','VBN','IN','DT','IN','JJ','NN','interest4'
'pursue','other','business','X','the','airline','VB','JJ','NN','X','DT','NN','interest3'
'pXg','took','an','X','it','ordered','NP','VBD','DT','X','PP','VBD','interest1'
'NULL','NULL','with','in','emigration','and','NULL','NULL','IN','IN','NN','CC','interest1'
'NULL','NULL','net','income','for','the','NULL','NULL','JJ','NN','IN','DT','interest6'
'years','at','an','rate','of','8','NNS','IN','DT','NN','IN','AB','interest6'
'legal','fees','and','have','driven','the','JJ','NNS','CC','VBP','VBN','DT','interest6'
'cost','of','the','on','the','bonds','NN','IN','DT','IN','DT','NNS','interest6'
'enquirer','have','shown','X','NULL','NULL','NP','VBP','VBN','X','NULL','NULL','interest1'
'to','the','high','rates','mrX','lawson','TO','DT','JJ','NNS','NP','NP','interest6'
'requirements','X','high','rates','are','less','NNS','X','JJ','NNS','VBP','RBR','interest6'
'neither','aggregates','nor','rates','can','do','DT','NNS','CC','NNS','MD','VB','interest6'
'time','for','his','outside','the','office','NN','IN','PPX','IN','DT','NN','interest3'
'Xs','earnings','before','X','taxes','and','POS','NNS','IN','X','NNS','CC','interest6'
'X','earnings','before','X','taxes','and','X','NNS','IN','X','NNS','CC','interest6'
'of','their','realXestate','X','NULL','NULL','IN','PPX','NN','X','NULL','NULL','interest5'
'100','million','in','every','quarter','X','AB','AB','IN','DT','NN','X','interest6'
'it','said','longXterm','rates','X','then','PP','VBD','JJ','NNS','X','RB','interest6'
'people','who','believe','rates','are','about','NNS','WP','VBP','NNS','VBP','IN','interest6'
'he','expected','X','rates','have','generally','PP','VBD','X','NNS','VBP','RB','interest6'
'policy','and','pushed','rates','up','to','NN','CC','VBD','NNS','RB','TO','interest6'
'doubled','the','mortgage','rates','of','the','VBD','DT','NN','NNS','IN','DT','interest6'
'inflation','and','high','rates','X','three','NN','CC','JJ','NNS','X','AB','interest6'
'response','to','high','rates','X','NULL','NN','TO','JJ','NNS','X','NULL','interest6'
'currency','falls','X','rates','are','raised','NN','VBZ','X','NNS','VBP','VBN','interest6'
'Xs','australian','coal','for','X','275','POS','JJ','NN','IN','X','AB','interest5'
'there','is','great','in','games','of','EX','VBZ','JJ','IN','NNS','IN','interest1'
'the','first','time','paid','on','the','DT','JJ','NN','VBN','IN','DT','interest6'
'NULL','NULL','accrued','on','the','refund','NULL','NULL','VBN','IN','DT','NN','interest6'
'incomeXtax','refunds','and','from','a','court','JJ','NNS','CC','IN','DT','NN','interest6'
'55','%','equity','of','its','partner','AB','NN','NN','IN','PPX','NN','interest5'
'sufficient','to','cover','payments','on','the','JJ','TO','VB','NNS','IN','DT','interest6'
'50X3','%','controlling','X','NULL','NULL','AB','NN','VBG','X','NULL','NULL','interest5'
'a','50','%','in','the','new','DT','AB','NN','IN','DT','JJ','interest5'
'well','the','public','would','be','served','RB','DT','JJ','MD','VB','VBN','interest4'
'any','substantial','buying','X','NULL','NULL','DT','JJ','NN','X','NULL','NULL','interest1'
'inflation','X','high','rates','and','a','NN','X','JJ','NNS','CC','DT','interest6'
'frankfurt','authorities','move','rates','X','NULL','NP','NNS','VBP','NNS','X','NULL','interest6'
'X','over','the','rates','on','irving','X','IN','DT','NNS','IN','NP','interest6'
'of','paying','less','than','promised','in','IN','VBG','JJR','IN','VBN','IN','interest6'
'key','federal','funds','rate','X','which','JJ','JJ','NNS','NN','X','WDT','interest6'
'or','the','public','X','NULL','NULL','CC','DT','JJ','X','NULL','NULL','interest4'
'and','foreign','annual','rates','below','are','CC','JJ','JJ','NNS','RB','VBP','interest6'
'maneuver','of','little','outside','washington','X','NN','IN','JJ','IN','NP','X','interest2'
'have','as','much','as','democrats','in','VBP','RB','JJ','IN','NPS','IN','interest1'
'million','behind','in','payments','X','NULL','AB','RB','IN','NNS','X','NULL','interest6'
'6','14','%','rate','X','NULL','AB','AB','NN','NN','X','NULL','interest6'
'banks','X','where','rates','for','prime','NNS','X','WRB','NNS','IN','JJ','interest6'
'in','the','best','of','cbs','news','IN','DT','JJS','IN','NP','NP','interest4'
'debt','obligations','and','expense','X','NULL','NN','NNS','CC','NN','X','NULL','interest6'
'and','reduced','cash','X','NULL','NULL','CC','JJ','NN','X','NULL','NULL','interest6'
'represent','a','controlling','in','the','company','VB','DT','VBG','IN','DT','NN','interest5'
'some','light','investor','in','the','metals','DT','JJ','NN','IN','DT','NNS','interest1'
'X','the','effective','rate','on','the','X','DT','JJ','NN','IN','DT','interest6'
'4','million','in','expenses','next','year','AB','AB','IN','NNS','IN','NN','interest6'
'a','time','when','rates','generally','have','DT','NN','WRB','NNS','RB','VBP','interest6'
'the','decline','in','rates','X','NULL','DT','NN','IN','NNS','X','NULL','interest6'
'was','nXt','much','X','NULL','NULL','VBD','RB','JJ','X','NULL','NULL','interest1'
'advertisers','are','showing','X','NULL','NULL','NNS','VBP','VBG','X','NULL','NULL','interest1'
'Xs','because','municipalXbond','is','exempt','from','VBZ','RB','JJ','VBZ','JJ','IN','interest6'
'year','at','prevailing','rates','X','NULL','NN','IN','JJ','NNS','X','NULL','interest6'
'a','bet','that','rates','will','decline','DT','NN','IN','NNS','MD','VB','interest6'
'even','losses','if','rates','rise','instead','JJ','NNS','IN','NNS','VBP','RB','interest6'
'NULL','NULL','if','rates','do','nXt','NULL','NULL','IN','NNS','VBP','RB','interest6'
'NULL','NULL','an','rate','is','guaranteed','NULL','NULL','DT','NN','VBZ','VBN','interest6'
'offers','8X8','%','for','one','year','VBZ','AB','NN','IN','AB','NN','interest6'
'that','track','market','rates','X','with','IN','VBP','NN','NNS','X','IN','interest6'
'in','the','national','X','in','other','IN','DT','JJ','X','IN','JJ','interest4'
'threats','to','our','in','a','manner','NNS','TO','PPX','IN','DT','NN','interest4'
'and','lower','uXsX','rates','continue','to','CC','JJR','NP','NNS','VBP','TO','interest6'
'decline','in','uXsX','rates','that','has','NN','IN','NP','NNS','WDT','VBZ','interest6'
'relatively','high','british','rates','that','he','RB','JJ','JJ','NNS','IN','PP','interest6'
'of','strong','buying','in','the','yen','IN','JJ','NN','IN','DT','NN','interest1'
'japanese','investors','X','in','buying','dollars','JJ','NNS','POS','IN','VBG','NNS','interest1'
'NULL','giant','has','in','cement','making','NULL','NN','VBZ','IN','NN','NN','interest5'
'X','plus','accrued','to','the','date','X','CC','JJ','TO','DT','NN','interest6'
'stake','in','how','rates','move','because','NN','IN','WRB','NNS','VBP','IN','interest6'
'to','predict','where','rates','in','the','TO','VB','WRB','NNS','IN','DT','interest6'
'oil','and','gas','up','for','sale','NN','CC','NN','RP','IN','NN','interest5'
'norwegian','unit','has','ranging','from','10','JJ','NN','VBZ','VBG','IN','AB','interest5'
'NULL','NULL','NULL','during','first','year','NULL','NULL','NULL','IN','JJ','NN','interest6'
'NULL','thereafter','X','paid','annually','at','NULL','RB','X','VBN','RB','IN','interest6'
'X','will','represent','in','a','trust','X','MD','VB','IN','DT','NN','interest5'
'get','a','half','in','the','oil','VB','DT','NN','IN','DT','NN','interest5'
'half','the','brewing','X','NULL','NULL','PDT','DT','NN','X','NULL','NULL','interest5'
'in','the','public','X','NULL','NULL','IN','DT','JJ','X','NULL','NULL','interest4'
'financial','instruments','as','rate','swaps','X','JJ','NNS','IN','NN','NNS','X','interest6'
'we','read','with','robert','tomsho','Xs','PP','VBP','IN','NP','NP','POS','interest1'
'NULL','NULL','your','is','not','taken','NULL','NULL','PPX','VBZ','RB','VBN','interest4'
'for','similar','intellectual','X','NULL','NULL','IN','JJ','JJ','X','NULL','NULL','interest3'
'standards','are','spurring','in','lighter','or','NNS','VBP','VBG','IN','JJR','CC','interest1'
'X','as','fat','payments','barely','managed','X','IN','JJ','NNS','RB','VBD','interest6'
'firmly','supports','high','rates','to','keep','RB','VBZ','JJ','NNS','TO','VB','interest6'
'company','said','the','on','the','debt','NN','VBD','DT','IN','DT','NN','interest6'
'%','X','base','rates','are','the','NN','X','NN','NNS','VBP','DT','interest6'
'convicted','of','charging','rates','much','higher','VBN','IN','VBG','NNS','RB','JJR','interest6'
'NULL','but','the','rates','they','charge','NULL','CC','DT','NNS','PP','VBP','interest6'
'company','X','whose','include','insurance','X','NN','X','WPX','VBP','NN','X','interest5'
'a','year','in','expense','X','NULL','DT','NN','IN','NN','X','NULL','interest6'
'have','no','periodic','payments','X','NULL','VBP','DT','JJ','NNS','X','NULL','interest6'
'there','is','some','in','the','idea','EX','VBZ','DT','IN','DT','NN','interest1'
'reserve','to','lower','rates','in','coming','NP','TO','VB','NNS','IN','JJ','interest6'
'be','at','variable','rates','X','currently','VB','IN','JJ','NNS','X','RB','interest6'
'make','the','semiannual','payment','on','its','VB','DT','JJ','NN','IN','PPX','interest6'
'nearly','missed','an','payment','on','its','RB','VBD','DT','NN','IN','PPX','interest6'
'dispose','of','its','in','britain','Xs','VB','IN','PPX','IN','NP','POS','interest5'
'and','foreign','annual','rates','below','are','CC','JJ','JJ','NNS','RB','VBP','interest6'
'the','sale','of','in','its','computerized','DT','NN','IN','IN','PPX','JJ','interest5'
'sale','of','covia','X','NULL','NULL','NN','IN','NP','X','NULL','NULL','interest5'
'X','company','with','in','fashion','jewelry','X','NN','IN','IN','NN','NN','interest5'
'sure','to','revive','in','the','matter','JJ','TO','VB','IN','DT','NN','interest1'
'6X250X000','X','plus','X','at','the','AB','X','CC','X','IN','DT','interest6'
'loans','at','lower','rates','X','possibly','NNS','IN','JJR','NNS','X','RB','interest6'
'to','bring','our','rate','down','X','TO','VB','PPX','NN','RP','X','interest6'
'billion','of','accrued','this','year','X','AB','IN','JJ','DT','NN','X','interest6'
'must','fix','the','rates','on','X','MD','VB','DT','NNS','IN','X','interest6'
'X','excluding','accrued','X','X','rjr','X','VBG','JJ','X','X','NP','interest6'
'the','bonds','X','rates','as','high','DT','NNS','POS','VBZ','RB','RB','interest6'
'require','fixing','the','rate','as','high','VB','VBG','DT','NN','RB','JJ','interest6'
'continue','to','accrue','in','paper','until','VB','TO','VB','IN','NN','IN','interest6'
'to','fix','the','rate','to','get','TO','VB','DT','NN','TO','VB','interest6'
'brunswick','also','has','in','defense','and','NP','RB','VBZ','IN','NN','CC','interest5'
'to','enhanced','investor','in','precious','metals','TO','JJ','NN','IN','JJ','NNS','interest1'
'create','some','investor','in','precious','metals','VB','DT','NN','IN','JJ','NNS','interest1'
'NULL','NULL','that','has','been','lacking','NULL','NULL','DT','VBZ','VBN','JJ','interest1'
'seen','increasing','open','and','declining','prices','VBN','VBG','JJ','CC','VBG','NNS','interest5'
'NULL','NULL','open','is','the','number','NULL','NULL','JJ','VBZ','DT','NN','interest5'
'to','pay','overdue','on','its','stillXoutstanding','TO','VB','JJ','IN','PPX','JJ','interest6'
'properties','or','from','on','mortgages','X','NNS','CC','IN','IN','NNS','X','interest6'
'inflation','X','high','and','materials','costs','NN','X','JJ','CC','NNS','NNS','interest6'
'has','a','voting','of','about','20','VBZ','DT','NN','IN','RB','AB','interest5'
'to','increase','uXkX','rates','when','the','TO','VB','NP','NNS','WRB','DT','interest6'
'on','all','the','that','sum','earns','IN','PDT','DT','DT','NN','VBZ','interest6'
'1988','X','including','on','past','contributions','AB','X','VBG','IN','JJ','NNS','interest6'
'X','4X773','in','could','be','withdrawn','X','AB','IN','MD','VB','VBN','interest6'
'tax','on','the','the','contributions','earn','NN','IN','DT','DT','NNS','VBP','interest6'
'but','allowing','the','buildup','on','those','CC','VBG','DT','NN','IN','DT','interest6'
'payments','to','minority','X','NULL','NULL','NNS','TO','NN','X','NULL','NULL','interest5'
'had','showed','little','in','buying','the','VBD','VBN','JJ','IN','VBG','DT','interest1'
'by','separating','the','payment','portion','of','IN','VBG','DT','NN','NN','IN','interest6'
'securities','pay','no','until','maturity','X','NNS','VBP','DT','IN','NN','X','interest6'
'strategic','and','economic','X','NULL','NULL','JJ','CC','JJ','X','NULL','NULL','interest4'
'X','X','our','lies','in','a','X','X','PPX','VBZ','IN','DT','interest4'
'takes','a','keen','in','monetary','matters','VBZ','DT','JJ','IN','JJ','NNS','interest1'
